uniprot	swissprot	name	act_value	act_type	action_type	source_name	reference	smiles	ChEMBL_Id
P31645	SC6A4_HUMAN	fluvoxamine	8.51	Ki	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL814	COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F	CHEMBL814
P31645	SC6A4_HUMAN	fluoxetine	9.0915	Kd	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL41	CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1	CHEMBL41
P31645	SC6A4_HUMAN	escitalopram	8.9586	Ki	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1508	CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1	CHEMBL1508
P31645	SC6A4_HUMAN	citalopram	8.9355	Kd	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL549	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1	CHEMBL549
P31645	SC6A4_HUMAN	chlorphentermine	6.4711	Ki	SUBSTRATE	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200595	CC(C)(N)CC1=CC=C(Cl)C=C1	CHEMBL1200595
P31645	SC6A4_HUMAN	amitriptyline	8.3665	Kd	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL629	CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2	CHEMBL629
Q12809	KCNH2_HUMAN	sotalol	4.0	Ki	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL471	CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	CHEMBL471
Q12809	KCNH2_HUMAN	amiodarone	5.0	IC50	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL633	CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2	CHEMBL633
P08913	ADA2A_HUMAN	tolazoline	6.64	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL770	C(C1=NCCN1)C1=CC=CC=C1	CHEMBL770
P08913	ADA2A_HUMAN	tizanidine			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1079	ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	CHEMBL1079
P08913	ADA2A_HUMAN	phenoxybenzamine	6.28	IC50	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL753	CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1	CHEMBL753
P08913	ADA2A_HUMAN	methyldopa			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL459	C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O	CHEMBL459
P08913	ADA2A_HUMAN	guanfacine	7.1642	EC50	AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022037s011lbl.pdf	NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl	CHEMBL862
P08913	ADA2A_HUMAN	dipivefrine			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200833	CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	CHEMBL1200833
P08913	ADA2A_HUMAN	brimonidine	8.3872	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL844	BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	CHEMBL844
P29274	AA2AR_HUMAN	regadenoson	5.8861	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL317052	CNC(=O)C1=CN(N=C1)C1=NC(N)=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=N1	CHEMBL317052
P29274	AA2AR_HUMAN	adenosine	6.1549	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL477	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	CHEMBL477
P14416	DRD2_HUMAN	asenapine	8.75	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201756	[H]C12CN(C)CC1([H])C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1	CHEMBL1201756
P14416	DRD2_HUMAN	iloperidone	8.9687	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL14376	COC1=C(OCCCN2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C=CC(=C1)C(C)=O	CHEMBL14376
P14416	DRD2_HUMAN	ziprasidone	8.32	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL708	ClC1=CC2=C(CC(=O)N2)C=C1CCN1CCN(CC1)C1=NSC2=C1C=CC=C2	CHEMBL708
P14416	DRD2_HUMAN	thioridazine	7.4	IC50	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL479	[H]C1(CCN2C3=CC=CC=C3SC3=CC=C(SC)C=C23)CCCCN1C	CHEMBL479
P14416	DRD2_HUMAN	thiethylperazine	8.699	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1378	CCSC1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(C)CC3)C2=C1	CHEMBL1378
P14416	DRD2_HUMAN	risperidone	8.49	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL85	CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1	CHEMBL85
P14416	DRD2_HUMAN	quetiapine	6.4828	IC50	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL716	OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12	CHEMBL716
P14416	DRD2_HUMAN	promazine	6.7037	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL564	CN(C)CCCN1C2=CC=CC=C2SC2=C1C=CC=C2	CHEMBL564
P14416	DRD2_HUMAN	prochlorperazine	8.7642	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL728	CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1	CHEMBL728
P14416	DRD2_HUMAN	pramipexole	6.6	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL301265	CCCN[C@H]1CCC2=C(C1)SC(N)=N2	CHEMBL301265
P14416	DRD2_HUMAN	pimozide	8.8623	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1423	FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2)C1=CC=C(F)C=C1	CHEMBL1423
P14416	DRD2_HUMAN	perphenazine	9.32	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL567	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1	CHEMBL567
P14416	DRD2_HUMAN	pergolide	8.3	EC50	AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/19385slr030,031,035_permax_lbl.pdf	[H][C@]1(CSC)CN(CCC)[C@]2([H])CC3=CNC4=C3C(=CC=C4)[C@@]2([H])C1	CHEMBL531
P14416	DRD2_HUMAN	olanzapine	8.5229	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL715	CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2	CHEMBL715
P14416	DRD2_HUMAN	molindone	6.1568	IC50	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL460	CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2	CHEMBL460
P14416	DRD2_HUMAN	metoclopramide	7.1938	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL86	CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1	CHEMBL86
P14416	DRD2_HUMAN	haloperidol	9.15	Ki	INVERSE AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL54	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1	CHEMBL54
P14416	DRD2_HUMAN	fluphenazine	9.269	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL726	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1	CHEMBL726
P14416	DRD2_HUMAN	clozapine	6.86	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL42	CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2	CHEMBL42
P14416	DRD2_HUMAN	chlorpromazine	8.15	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL71	CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	CHEMBL71
P14416	DRD2_HUMAN	bromocriptine	9.7	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL493	[H][C@@]12CCCN1C(=O)[C@]([H])(CC(C)C)N1C(=O)[C@](NC(=O)[C@@]3([H])CN(C)[C@]4([H])CC5=C(Br)NC6=C5C(=CC=C6)C4=C3)(O[C@@]21O)C(C)C	CHEMBL493
P14416	DRD2_HUMAN	aripiprazole	8.71	Ki	PARTIAL AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1112	ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl	CHEMBL1112
P35372	OPRM_HUMAN	methylnaltrexone	7.55	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1186579	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	CHEMBL1186579
P35372	OPRM_HUMAN	sufentanil	8.13	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL658	CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1	CHEMBL658
P35372	OPRM_HUMAN	remifentanil			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1005	CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC	CHEMBL1005
P35372	OPRM_HUMAN	oxymorphone	9.4437	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL963	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O	CHEMBL963
P35372	OPRM_HUMAN	oxycodone	7.7959	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL656	[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3OC	CHEMBL656
P35372	OPRM_HUMAN	naloxone	8.81	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL80	[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O	CHEMBL80
P35372	OPRM_HUMAN	nalbuphine	8.8	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL895	[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O	CHEMBL895
P35372	OPRM_HUMAN	morphine	7.86	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL70	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	CHEMBL70
P35372	OPRM_HUMAN	naltrexone	9.38	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL19019	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	CHEMBL19019
P35372	OPRM_HUMAN	methadone	8.78	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL651	CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL651
P35372	OPRM_HUMAN	loperamide	8.8239	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL841	CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL841
P35372	OPRM_HUMAN	levomethadyl acetate			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1514	CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL1514
P35372	OPRM_HUMAN	fentanyl	9.0014	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL596	CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	CHEMBL596
P35372	OPRM_HUMAN	diphenoxylate	7.1674	IC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200665	CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	CHEMBL1200665
P35372	OPRM_HUMAN	dextropropoxyphene			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1213351	[H][C@@](C)(CN(C)C)[C@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1	CHEMBL1213351
P35372	OPRM_HUMAN	buprenorphine	8.29	Ki	PARTIAL AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL511142	[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CC6)CC[C@@]14[C@@]51CC[C@@]2(OC)[C@]([H])(C1)[C@](C)(O)C(C)(C)C)=CC=C3O	CHEMBL511142
Q06187	BTK_HUMAN	ibrutinib	9.142667770385742	Ki	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/17154430	NC1=C2C(=NC=N1)N(N=C2C1=CC=C(OC2=CC=CC=C2)C=C1)[C@@H]1CCCN(C1)C(=O)C=C	CHEMBL1873475
P35372	OPRM_HUMAN	anileridine			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200543	CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1	CHEMBL1200543
P35372	OPRM_HUMAN	alvimopan	9.3979	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL270190	C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1	CHEMBL270190
P35372	OPRM_HUMAN	alfentanil	8.5	EC50	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL634	CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	CHEMBL634
P23219	PGH1_HUMAN	tolmetin	6.27	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1020	CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	CHEMBL1020
P23219	PGH1_HUMAN	suprofen	5.96	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL956	CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	CHEMBL956
P23219	PGH1_HUMAN	piroxicam	5.18	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL527	CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O	CHEMBL527
P23219	PGH1_HUMAN	naproxen	5.16	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL154	COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	CHEMBL154
P23219	PGH1_HUMAN	mesalazine			INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL704	NC1=CC(C(O)=O)=C(O)C=C1	CHEMBL704
P23219	PGH1_HUMAN	mefenamic acid	4.78	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL686	CC1=CC=CC(NC2=C(C=CC=C2)C(O)=O)=C1C	CHEMBL686
P23219	PGH1_HUMAN	meclofenamic acid	6.66	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL509	CC1=CC=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C1Cl	CHEMBL509
P23219	PGH1_HUMAN	ketorolac	9.72	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL469	OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	CHEMBL469
P23219	PGH1_HUMAN	ketoprofen	7.33	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL571	CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	CHEMBL571
P23219	PGH1_HUMAN	indomethacin	7.21	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL6	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O	CHEMBL6
P23219	PGH1_HUMAN	ibuprofen	5.12	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL521	CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	CHEMBL521
P23219	PGH1_HUMAN	flurbiprofen	8.74	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL563	CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	CHEMBL563
P23219	PGH1_HUMAN	fenoprofen	5.36	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1297	CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1	CHEMBL1297
P23219	PGH1_HUMAN	diflunisal	4.4	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL898	OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1	CHEMBL898
P23219	PGH1_HUMAN	diclofenac	7.52	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139	OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	CHEMBL139
P23219	PGH1_HUMAN	bromfenac	8.29	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL751	NC1=C(C=CC=C1CC(O)=O)C(=O)C1=CC=C(Br)C=C1	CHEMBL751
P23219	PGH1_HUMAN	balsalazide			INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200760	OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	CHEMBL1200760
P23219	PGH1_HUMAN	nepafenac	6.6	IC50	INHIBITOR	KEGG DRUG	http://www.kegg.jp/entry/D05143	NC(=O)CC1=C(N)C(=CC=C1)C(=O)C1=CC=CC=C1	CHEMBL25146
P23219	PGH1_HUMAN	acetylsalicylic acid	5.77	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL25	CC(=O)OC1=CC=CC=C1C(O)=O	CHEMBL25
Q14524	SCN5A_HUMAN	topiramate			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL220492	[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	CHEMBL220492
Q14524	SCN5A_HUMAN	ropivacaine	4.56	IC50	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1077896	CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	CHEMBL1077896
Q14524	SCN5A_HUMAN	riluzole			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL744	NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2	CHEMBL744
Q14524	SCN5A_HUMAN	phenytoin			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL16	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL16
Q14524	SCN5A_HUMAN	oxcarbazepine			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1068	NC(=O)N1C2=CC=CC=C2C(=O)CC2=C1C=CC=C2	CHEMBL1068
Q14524	SCN5A_HUMAN	orphenadrine	4.8861	IC50	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL900	CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	CHEMBL900
Q14524	SCN5A_HUMAN	moracizine			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1075	CCOC(=O)NC1=CC=C2SC3=CC=CC=C3N(C(=O)CCN3CCOCC3)C2=C1	CHEMBL1075
Q14524	SCN5A_HUMAN	mexiletine	4.53	IC50	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL558	CC(N)COC1=C(C)C=CC=C1C	CHEMBL558
Q14524	SCN5A_HUMAN	mepivacaine			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1087	[H]C1(CCCCN1C)C(=O)NC1=C(C)C=CC=C1C	CHEMBL1087
Q14524	SCN5A_HUMAN	etidocaine			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL492	CCCN(CC)C(CC)C(=O)NC1=C(C)C=CC=C1C	CHEMBL492
Q14524	SCN5A_HUMAN	disopyramide			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL517	CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C	CHEMBL517
Q14524	SCN5A_HUMAN	carbamazepine			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL108	NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2	CHEMBL108
P21554	CNR1_HUMAN	paracetamol			AGONIST	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/23940628	CC(=O)NC1=CC=C(O)C=C1	CHEMBL112
Q8NER1	TRPV1_HUMAN	paracetamol			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL112	CC(=O)NC1=CC=C(O)C=C1	CHEMBL112
P35354	PGH2_HUMAN	valdecoxib	8.3	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL865	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O	CHEMBL865
P35354	PGH2_HUMAN	tolmetin	6.84	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1020	CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	CHEMBL1020
P35354	PGH2_HUMAN	suprofen	5.06	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL956	CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	CHEMBL956
P35354	PGH2_HUMAN	sulindac	4.25	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL15770	CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O	CHEMBL15770
P35354	PGH2_HUMAN	rofecoxib	6.51	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL122	CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1	CHEMBL122
P35354	PGH2_HUMAN	piroxicam	4.7	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL527	CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O	CHEMBL527
P35354	PGH2_HUMAN	oxaprozin	4.44	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1071	OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL1071
P35354	PGH2_HUMAN	mefenamic acid	6.83	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL686	CC1=CC=CC(NC2=C(C=CC=C2)C(O)=O)=C1C	CHEMBL686
P35354	PGH2_HUMAN	meclofenamic acid	6.7	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL509	CC1=CC=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C1Cl	CHEMBL509
P35354	PGH2_HUMAN	ketorolac	6.9	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL469	OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	CHEMBL469
P35354	PGH2_HUMAN	ketoprofen	6.62	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL571	CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	CHEMBL571
P35354	PGH2_HUMAN	indomethacin	6.33	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL6	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O	CHEMBL6
P35354	PGH2_HUMAN	ibuprofen	5.14	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL521	CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	CHEMBL521
P35354	PGH2_HUMAN	flurbiprofen	8.39	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL563	CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	CHEMBL563
