name	side_effect
Loratadine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Loratadine.
Lorcaserin	The metabolism of Bortezomib can be decreased when combined with Lorcaserin.
Lorlatinib	The serum concentration of Bortezomib can be decreased when it is combined with Lorlatinib.
Lornoxicam	The metabolism of Lornoxicam can be decreased when combined with Bortezomib.
Lorpiprazole	The metabolism of Lorpiprazole can be decreased when combined with Bortezomib.
Losartan	The serum concentration of Bortezomib can be increased when it is combined with Losartan.
Lovastatin	The metabolism of Bortezomib can be decreased when combined with Lovastatin.
Loxapine	The serum concentration of Bortezomib can be increased when it is combined with Loxapine.
Lumacaftor	The metabolism of Bortezomib can be increased when combined with Lumacaftor.
Lumefantrine	The metabolism of Bortezomib can be decreased when combined with Lumefantrine.
Lumiracoxib	The metabolism of Lumiracoxib can be decreased when combined with Bortezomib.
Lurasidone	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lurasidone.
Lusutrombopag	The serum concentration of Bortezomib can be increased when it is combined with Lusutrombopag.
Lynestrenol	The metabolism of Lynestrenol can be decreased when combined with Bortezomib.
Macimorelin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Macimorelin.
Magnesium	The serum concentration of Magnesium can be decreased when it is combined with Bortezomib.
Manidipine	The metabolism of Bortezomib can be decreased when combined with Manidipine.
Mannitol	The serum concentration of Bortezomib can be increased when it is combined with Mannitol.
Maprotiline	The metabolism of Maprotiline can be decreased when combined with Bortezomib.
Maribavir	The serum concentration of Bortezomib can be increased when it is combined with Maribavir.
Mavacamten	The serum concentration of Mavacamten can be increased when it is combined with Bortezomib.
Measles virus vaccine live attenuated	The therapeutic efficacy of Measles virus vaccine live attenuated can be decreased when used in combination with Bortezomib.
Mechlorethamine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Mechlorethamine.
Meclizine	The metabolism of Meclizine can be decreased when combined with Bortezomib.
Medroxyprogesterone acetate	The metabolism of Bortezomib can be increased when combined with Medroxyprogesterone acetate.
Mefenamic acid	The metabolism of Mefenamic acid can be decreased when combined with Bortezomib.
Mefloquine	The serum concentration of Bortezomib can be increased when it is combined with Mefloquine.
Melatonin	The metabolism of Melatonin can be decreased when combined with Bortezomib.
Meloxicam	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Meloxicam.
Melphalan	The risk or severity of adverse effects can be increased when Bortezomib is combined with Melphalan.
Meningococcal (groups A, C, Y and W-135) oligosaccharide diphtheria CRM197 conjugate vaccine	The therapeutic efficacy of Meningococcal (groups A, C, Y and W-135) oligosaccharide diphtheria CRM197 conjugate vaccine can be decreased when used in combination with Bortezomib.
Meperidine	The metabolism of Bortezomib can be decreased when combined with Meperidine.
Mephenytoin	The metabolism of Mephenytoin can be decreased when combined with Bortezomib.
Mepivacaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Mepivacaine.
Mepolizumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Mepolizumab.
Meprednisone	The metabolism of Bortezomib can be increased when combined with Meprednisone.
Mepyramine	The metabolism of Bortezomib can be decreased when combined with Mepyramine.
Mercaptopurine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Mercaptopurine.
Mesoridazine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Mesoridazine.
Mestranol	The metabolism of Mestranol can be decreased when combined with Bortezomib.
Metamfetamine	The metabolism of Metamfetamine can be decreased when combined with Bortezomib.
Methadone	The serum concentration of Bortezomib can be increased when it is combined with Methadone.
Methimazole	The metabolism of Bortezomib can be decreased when combined with Methimazole.
Methotrexate	The risk or severity of adverse effects can be increased when Bortezomib is combined with Methotrexate.
Methotrimeprazine	The metabolism of Bortezomib can be decreased when combined with Methotrimeprazine.
Methoxsalen	The metabolism of Bortezomib can be decreased when combined with Methoxsalen.
Methoxy polyethylene glycol-epoetin beta	The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Bortezomib.
Methoxyflurane	The metabolism of Methoxyflurane can be decreased when combined with Bortezomib.
Methsuximide	The metabolism of Methsuximide can be decreased when combined with Bortezomib.
Methylene blue	The serum concentration of Bortezomib can be increased when it is combined with Methylene blue.
Methylergometrine	The serum concentration of Bortezomib can be increased when it is combined with Methylergometrine.
Methylphenobarbital	The metabolism of Bortezomib can be increased when combined with Methylphenobarbital.
Methylprednisolone	The metabolism of Bortezomib can be increased when combined with Methylprednisolone.
Methylprednisone	The metabolism of Bortezomib can be decreased when combined with Methylprednisone.
Methysergide	The metabolism of Bortezomib can be decreased when combined with Methysergide.
Metoclopramide	The metabolism of Bortezomib can be decreased when combined with Metoclopramide.
Metoprolol	The metabolism of Bortezomib can be decreased when combined with Metoprolol.
Metreleptin	The metabolism of Bortezomib can be increased when combined with Metreleptin.
Metronidazole	The serum concentration of Bortezomib can be increased when it is combined with Metronidazole.
Metyrapone	The metabolism of Bortezomib can be increased when combined with Metyrapone.
Mexiletine	The metabolism of Bortezomib can be decreased when combined with Mexiletine.
Mianserin	The metabolism of Mianserin can be decreased when combined with Bortezomib.
Miconazole	The metabolism of Bortezomib can be decreased when combined with Miconazole.
Midazolam	The serum concentration of Bortezomib can be increased when it is combined with Midazolam.
Midostaurin	The metabolism of Bortezomib can be increased when combined with Midostaurin.
Mifepristone	The serum concentration of Bortezomib can be decreased when it is combined with Mifepristone.
Milnacipran	The metabolism of Bortezomib can be decreased when combined with Milnacipran.
Minaprine	The metabolism of Minaprine can be decreased when combined with Bortezomib.
Miocamycin	The serum concentration of Bortezomib can be increased when it is combined with Miocamycin.
Mirabegron	The serum concentration of Bortezomib can be increased when it is combined with Mirabegron.
Mirtazapine	The metabolism of Bortezomib can be decreased when combined with Mirtazapine.
Mitapivat	The metabolism of Bortezomib can be increased when combined with Mitapivat.
Mitomycin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Mitomycin.
Mitotane	The metabolism of Bortezomib can be increased when combined with Mitotane.
Mitoxantrone	The risk or severity of adverse effects can be increased when Bortezomib is combined with Mitoxantrone.
Mizolastine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Mizolastine.
Mobocertinib	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Mobocertinib.
Moclobemide	The metabolism of Moclobemide can be decreased when combined with Bortezomib.
Modafinil	The metabolism of Bortezomib can be increased when combined with Modafinil.
Moderna COVID-19 Vaccine	The therapeutic efficacy of Moderna COVID-19 Vaccine can be decreased when used in combination with Bortezomib.
Modified vaccinia ankara	The therapeutic efficacy of Modified vaccinia ankara can be decreased when used in combination with Bortezomib.
Moexipril	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Moexipril.
Mometasone furoate	The metabolism of Bortezomib can be increased when combined with Mometasone furoate.
Monomethyl fumarate	The risk or severity of adverse effects can be increased when Bortezomib is combined with Monomethyl fumarate.
Montelukast	The metabolism of Montelukast can be decreased when combined with Bortezomib.
Moricizine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Moricizine.
Morphine	The serum concentration of Bortezomib can be increased when it is combined with Morphine.
Mosunetuzumab	The metabolism of Bortezomib can be decreased when combined with Mosunetuzumab.
Moxifloxacin	The metabolism of Bortezomib can be decreased when combined with Moxifloxacin.
Mumps virus strain B level jeryl lynn live antigen	The therapeutic efficacy of Mumps virus strain B level jeryl lynn live antigen can be decreased when used in combination with Bortezomib.
Muromonab	The risk or severity of adverse effects can be increased when Muromonab is combined with Bortezomib.
Mycophenolate mofetil	The risk or severity of adverse effects can be increased when Bortezomib is combined with Mycophenolate mofetil.
Mycophenolic acid	The risk or severity of adverse effects can be increased when Bortezomib is combined with Mycophenolic acid.
Nabilone	The metabolism of Nabilone can be decreased when combined with Bortezomib.
Nabumetone	The metabolism of Nabumetone can be decreased when combined with Bortezomib.
Nadolol	The metabolism of Nadolol can be decreased when combined with Bortezomib.
Nadroparin	The risk or severity of bleeding can be increased when Nadroparin is combined with Bortezomib.
Nafcillin	The metabolism of Bortezomib can be increased when combined with Nafcillin.
Nalidixic acid	The metabolism of Bortezomib can be decreased when combined with Nalidixic acid.
Naproxen	The metabolism of Naproxen can be decreased when combined with Bortezomib.
Natalizumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Natalizumab.
Nateglinide	The metabolism of Nateglinide can be decreased when combined with Bortezomib.
Nebivolol	The metabolism of Nebivolol can be decreased when combined with Bortezomib.
Nefazodone	The metabolism of Bortezomib can be decreased when combined with Nefazodone.
Nelarabine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Nelarabine.
Nelfinavir	The metabolism of Bortezomib can be decreased when combined with Nelfinavir.
Neratinib	The serum concentration of Bortezomib can be increased when it is combined with Neratinib.
Netupitant	The serum concentration of Bortezomib can be increased when it is combined with Netupitant.
Nevirapine	The metabolism of Bortezomib can be decreased when combined with Nevirapine.
Niacin	The serum concentration of Bortezomib can be increased when it is combined with Niacin.
Niacinamide ascorbate	The therapeutic efficacy of Bortezomib can be decreased when used in combination with Niacinamide ascorbate.
Nicardipine	The metabolism of Bortezomib can be decreased when combined with Nicardipine.
Nicergoline	The metabolism of Nicergoline can be decreased when combined with Bortezomib.
Niclosamide	The metabolism of Bortezomib can be decreased when combined with Niclosamide.
Nifedipine	The metabolism of Nifedipine can be decreased when combined with Bortezomib.
Nilotinib	The metabolism of Bortezomib can be decreased when combined with Nilotinib.
Nilutamide	The metabolism of Nilutamide can be decreased when combined with Bortezomib.
Nilvadipine	The metabolism of Bortezomib can be decreased when combined with Nilvadipine.
Nimesulide	The risk or severity of bleeding can be increased when Nimesulide is combined with Bortezomib.
Nimodipine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Nimodipine.
Nintedanib	The metabolism of Bortezomib can be decreased when combined with Nintedanib.
Nitrendipine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Nitrendipine.
Norethisterone	The metabolism of Bortezomib can be decreased when combined with Norethisterone.
Norfloxacin	The metabolism of Bortezomib can be decreased when combined with Norfloxacin.
Norgestimate	The serum concentration of Bortezomib can be increased when it is combined with Norgestimate.
Nortriptyline	The metabolism of Nortriptyline can be decreased when combined with Bortezomib.
Noscapine	The serum concentration of Bortezomib can be increased when it is combined with Noscapine.
Nuvaxovid	The therapeutic efficacy of Nuvaxovid can be decreased when used in combination with Bortezomib.
Obeticholic acid	The metabolism of Bortezomib can be decreased when combined with Obeticholic acid.
Obinutuzumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Obinutuzumab.
Ocrelizumab	Ocrelizumab may increase the immunosuppressive activities of Bortezomib.
Octreotide	The serum concentration of Bortezomib can be increased when it is combined with Octreotide.
Ofatumumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ofatumumab.
Ofloxacin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ofloxacin.
Olanzapine	The metabolism of Olanzapine can be decreased when combined with Bortezomib.
Olaparib	The metabolism of Bortezomib can be decreased when combined with Olaparib.
Oliceridine	The metabolism of Oliceridine can be decreased when combined with Bortezomib.
Olodaterol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Olodaterol.
Olutasidenib	The metabolism of Bortezomib can be increased when combined with Olutasidenib.
Omadacycline	The serum concentration of Bortezomib can be increased when it is combined with Omadacycline.
Omaveloxolone	The serum concentration of Bortezomib can be decreased when it is combined with Omaveloxolone.
Ombitasvir	The serum concentration of Bortezomib can be increased when it is combined with Ombitasvir.
Omeprazole	The metabolism of Omeprazole can be decreased when combined with Bortezomib.
Ondansetron	The metabolism of Ondansetron can be decreased when combined with Bortezomib.
Opium	The metabolism of Opium can be decreased when combined with Bortezomib.
Oritavancin	The metabolism of Bortezomib can be increased when combined with Oritavancin.
Orphenadrine	The metabolism of Bortezomib can be decreased when combined with Orphenadrine.
Osilodrostat	The metabolism of Bortezomib can be decreased when combined with Osilodrostat.
Osimertinib	The serum concentration of Bortezomib can be decreased when it is combined with Osimertinib.
Ospemifene	The metabolism of Bortezomib can be decreased when combined with Ospemifene.
Ouabain	Ouabain may decrease the cardiotoxic activities of Bortezomib.
Oxaliplatin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Oxaliplatin.
Oxamniquine	The metabolism of Bortezomib can be decreased when combined with Oxamniquine.
Oxandrolone	The metabolism of Bortezomib can be decreased when combined with Oxandrolone.
Oxatomide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Oxatomide.
Oxcarbazepine	The metabolism of Bortezomib can be increased when combined with Oxcarbazepine.
Oxetacaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Oxetacaine.
Oxprenolol	The metabolism of Bortezomib can be decreased when combined with Oxprenolol.
Oxtriphylline	The metabolism of Oxtriphylline can be decreased when combined with Bortezomib.
Oxybuprocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Oxybuprocaine.
Oxybutynin	The serum concentration of Bortezomib can be increased when it is combined with Oxybutynin.
Oxycodone	The metabolism of Oxycodone can be decreased when combined with Bortezomib.
Oxymorphone	The metabolism of Oxymorphone can be decreased when combined with Bortezomib.
Oxytocin	The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Bortezomib.
Ozanimod	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ozanimod.
Paclitaxel	The metabolism of Bortezomib can be increased when combined with Paclitaxel.
Pacritinib	The serum concentration of Bortezomib can be increased when it is combined with Pacritinib.
Palbociclib	The serum concentration of Bortezomib can be increased when it is combined with Palbociclib.
Palifermin	The therapeutic efficacy of Palifermin can be decreased when used in combination with Bortezomib.
Paliperidone	The serum concentration of Bortezomib can be increased when it is combined with Paliperidone.
Palonosetron	The metabolism of Palonosetron can be decreased when combined with Bortezomib.
Panobinostat	The metabolism of Bortezomib can be decreased when combined with Panobinostat.
Pantoprazole	The metabolism of Pantoprazole can be decreased when combined with Bortezomib.
Papaverine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Papaverine.
Paramethadione	The metabolism of Paramethadione can be decreased when combined with Bortezomib.
Parecoxib	The metabolism of Parecoxib can be decreased when combined with Bortezomib.
Paritaprevir	The serum concentration of Bortezomib can be increased when it is combined with Paritaprevir.
Parnaparin	The risk or severity of bleeding can be increased when Parnaparin is combined with Bortezomib.
Paroxetine	The metabolism of Bortezomib can be decreased when combined with Paroxetine.
Pasireotide	The metabolism of Bortezomib can be decreased when combined with Pasireotide.
Pazopanib	The metabolism of Bortezomib can be decreased when combined with Pazopanib.
Pefloxacin	The metabolism of Bortezomib can be decreased when combined with Pefloxacin.
Pegaspargase	The risk or severity of adverse effects can be increased when Pegaspargase is combined with Bortezomib.
Pegcetacoplan	The risk or severity of adverse effects can be increased when Bortezomib is combined with Pegcetacoplan.
Peginesatide	The risk or severity of Thrombosis can be increased when Peginesatide is combined with Bortezomib.
Peginterferon alfa-2a	The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Bortezomib.
Peginterferon alfa-2b	The serum concentration of Bortezomib can be increased when it is combined with Peginterferon alfa-2b.
Peginterferon beta-1a	The risk or severity of adverse effects can be increased when Bortezomib is combined with Peginterferon beta-1a.
Pemetrexed	The risk or severity of adverse effects can be increased when Bortezomib is combined with Pemetrexed.
Penbutolol	The metabolism of Penbutolol can be decreased when combined with Bortezomib.
Penciclovir	The metabolism of Penciclovir can be decreased when combined with Bortezomib.
Penicillamine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Penicillamine.
Pentamidine	The metabolism of Pentamidine can be decreased when combined with Bortezomib.
Pentobarbital	The metabolism of Bortezomib can be increased when combined with Pentobarbital.
Pentosan polysulfate	The risk or severity of bleeding can be increased when Pentosan polysulfate is combined with Bortezomib.
Pentostatin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Pentostatin.
Pentoxifylline	The metabolism of Pentoxifylline can be decreased when combined with Bortezomib.
Perampanel	The metabolism of Bortezomib can be increased when combined with Perampanel.
Perflutren	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Perflutren.
Perhexiline	The metabolism of Bortezomib can be decreased when combined with Perhexiline.
Perphenazine	The metabolism of Bortezomib can be decreased when combined with Perphenazine.
Pertussis vaccine	The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Bortezomib.
Pertuzumab	The risk or severity of cardiotoxicity can be increased when Bortezomib is combined with Pertuzumab.
Pexidartinib	Bortezomib may increase the hepatotoxic activities of Pexidartinib.
Phenformin	The metabolism of Phenformin can be decreased when combined with Bortezomib.
Phenindione	The risk or severity of bleeding can be increased when Phenindione is combined with Bortezomib.
Pheniramine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pheniramine.
Phenobarbital	The metabolism of Bortezomib can be increased when combined with Phenobarbital.
Phenol	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Phenol.
Phenprocoumon	The risk or severity of bleeding can be increased when Phenprocoumon is combined with Bortezomib.
Phenylalanine	The risk or severity of adverse effects can be increased when Phenylalanine is combined with Bortezomib.
Phenylbutazone	The metabolism of Bortezomib can be increased when combined with Phenylbutazone.
Phenylbutyric acid	The metabolism of Bortezomib can be decreased when combined with Phenylbutyric acid.
Phenylephrine	The metabolism of Bortezomib can be increased when combined with Phenylephrine.
Phenytoin	The metabolism of Bortezomib can be increased when combined with Phenytoin.
Pibrentasvir	The serum concentration of Bortezomib can be increased when it is combined with Pibrentasvir.
Pimavanserin	The metabolism of Bortezomib can be decreased when combined with Pimavanserin.
Pimecrolimus	The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Bortezomib.
Pimozide	The metabolism of Pimozide can be decreased when combined with Bortezomib.
Pinaverium	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pinaverium.
Pindolol	The metabolism of Bortezomib can be decreased when combined with Pindolol.
Piperaquine	The metabolism of Bortezomib can be decreased when combined with Piperaquine.
Piperazine	The metabolism of Piperazine can be decreased when combined with Bortezomib.
Pipotiazine	The metabolism of Bortezomib can be decreased when combined with Pipotiazine.
Pirfenidone	The risk or severity of adverse effects can be increased when Bortezomib is combined with Pirfenidone.
Piroxicam	The metabolism of Piroxicam can be decreased when combined with Bortezomib.
Pirtobrutinib	The serum concentration of Bortezomib can be increased when it is combined with Pirtobrutinib.
Pitavastatin	The metabolism of Pitavastatin can be decreased when combined with Bortezomib.
Pitolisant	The serum concentration of Bortezomib can be decreased when it is combined with Pitolisant.
Polythiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Bortezomib.
Pomalidomide	The risk or severity of adverse effects can be increased when Bortezomib is combined with Pomalidomide.
Ponatinib	The serum concentration of Bortezomib can be increased when it is combined with Ponatinib.
Ponesimod	The risk or severity of bradycardia can be increased when Ponesimod is combined with Bortezomib.
Posaconazole	The metabolism of Bortezomib can be decreased when combined with Posaconazole.
Practolol	The metabolism of Practolol can be decreased when combined with Bortezomib.
Pralatrexate	The risk or severity of adverse effects can be increased when Bortezomib is combined with Pralatrexate.
Pralsetinib	The serum concentration of Bortezomib can be increased when it is combined with Pralsetinib.
Pramocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Pramocaine.
Prasugrel	The risk or severity of bleeding can be increased when Prasugrel is combined with Bortezomib.
Pravastatin	The serum concentration of Bortezomib can be increased when it is combined with Pravastatin.
Praziquantel	The metabolism of Praziquantel can be decreased when combined with Bortezomib.
Prednisolone	The metabolism of Bortezomib can be increased when combined with Prednisolone.
Prednisolone acetate	The metabolism of Bortezomib can be increased when combined with Prednisolone acetate.
Prednisolone phosphate	The serum concentration of Bortezomib can be decreased when it is combined with Prednisolone phosphate.
Prednisone	The risk or severity of adverse effects can be increased when Bortezomib is combined with Prednisone.
Prednisone acetate	The metabolism of Bortezomib can be increased when combined with Prednisone acetate.
Pregabalin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pregabalin.
Prenylamine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Prenylamine.
Pretomanid	The serum concentration of Bortezomib can be increased when it is combined with Pretomanid.
Prilocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Prilocaine.
Primaquine	The metabolism of Bortezomib can be decreased when combined with Primaquine.
Primidone	The metabolism of Bortezomib can be increased when combined with Primidone.
Probenecid	The metabolism of Bortezomib can be increased when combined with Probenecid.
Probucol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Probucol.
Procainamide	The metabolism of Procainamide can be decreased when combined with Bortezomib.
Procaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Procaine.
Procarbazine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Procarbazine.
Prochlorperazine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Prochlorperazine.
Progesterone	The metabolism of Progesterone can be decreased when combined with Bortezomib.
Proguanil	The metabolism of Proguanil can be decreased when combined with Bortezomib.
Promazine	The metabolism of Bortezomib can be decreased when combined with Promazine.
Promethazine	The metabolism of Bortezomib can be decreased when combined with Promethazine.
Propafenone	The serum concentration of Bortezomib can be increased when it is combined with Propafenone.
Proparacaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Proparacaine.
Propofol	The metabolism of Bortezomib can be decreased when combined with Propofol.
Propoxycaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Propoxycaine.
Propranolol	The serum concentration of Propranolol can be increased when it is combined with Bortezomib.
Propylthiouracil	The risk or severity of adverse effects can be increased when Bortezomib is combined with Propylthiouracil.
Protein C	The risk or severity of bleeding can be increased when Protein C is combined with Bortezomib.
Protein S human	The risk or severity of bleeding can be increased when Protein S human is combined with Bortezomib.
Protriptyline	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Protriptyline.
Quetiapine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Quetiapine.
Quinidine	The serum concentration of Bortezomib can be increased when it is combined with Quinidine.
Quinine	The metabolism of Bortezomib can be decreased when combined with Quinine.
Quinupristin	The metabolism of Bortezomib can be decreased when combined with Quinupristin.
Rabeprazole	The metabolism of Rabeprazole can be decreased when combined with Bortezomib.
Rabies immune globulin, human	The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Bortezomib.
Rabies virus inactivated antigen, A	The therapeutic efficacy of Rabies virus inactivated antigen, A can be decreased when used in combination with Bortezomib.
Rabies virus inactivated antigen, B	The therapeutic efficacy of Rabies virus inactivated antigen, B can be decreased when used in combination with Bortezomib.
Raloxifene	The serum concentration of Bortezomib can be increased when it is combined with Raloxifene.
Raltitrexed	The risk or severity of adverse effects can be increased when Bortezomib is combined with Raltitrexed.
Ramelteon	The metabolism of Ramelteon can be decreased when combined with Bortezomib.
Ranitidine	The metabolism of Bortezomib can be decreased when combined with Ranitidine.
Ranolazine	The serum concentration of Bortezomib can be increased when it is combined with Ranolazine.
Rasagiline	The metabolism of Rasagiline can be decreased when combined with Bortezomib.
Ravulizumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ravulizumab.
Reboxetine	The metabolism of Bortezomib can be decreased when combined with Reboxetine.
Regorafenib	The serum concentration of Bortezomib can be increased when it is combined with Regorafenib.
Relugolix	The serum concentration of Bortezomib can be increased when it is combined with Relugolix.
Remdesivir	The metabolism of Bortezomib can be decreased when combined with Remdesivir.
Remoxipride	The metabolism of Remoxipride can be decreased when combined with Bortezomib.
Reserpine	The serum concentration of Bortezomib can be increased when it is combined with Reserpine.
Reteplase	The risk or severity of bleeding can be increased when Reteplase is combined with Bortezomib.
Revefenacin	The serum concentration of Bortezomib can be increased when it is combined with Revefenacin.
Reviparin	The risk or severity of bleeding can be increased when Reviparin is combined with Bortezomib.
Ribociclib	The metabolism of Bortezomib can be decreased when combined with Ribociclib.
Rifabutin	The metabolism of Bortezomib can be increased when combined with Rifabutin.
Rifampicin	The metabolism of Bortezomib can be increased when combined with Rifampicin.
Rifamycin	The metabolism of Bortezomib can be increased when combined with Rifamycin.
Rifapentine	The metabolism of Bortezomib can be increased when combined with Rifapentine.
Rilonacept	The metabolism of Bortezomib can be increased when combined with Rilonacept.
Rilpivirine	The metabolism of Bortezomib can be decreased when combined with Rilpivirine.
Riluzole	The metabolism of Riluzole can be decreased when combined with Bortezomib.
Rimegepant	The serum concentration of Bortezomib can be increased when it is combined with Rimegepant.
Riociguat	The serum concentration of Bortezomib can be increased when it is combined with Riociguat.
Ripretinib	The serum concentration of Bortezomib can be increased when it is combined with Ripretinib.
Risankizumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Risankizumab.
Risperidone	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Risperidone.
Ritonavir	The serum concentration of Bortezomib can be increased when it is combined with Ritonavir.
Rituximab	The risk or severity of adverse effects can be increased when Rituximab is combined with Bortezomib.
Rivaroxaban	The serum concentration of Bortezomib can be increased when it is combined with Rivaroxaban.
Rofecoxib	The metabolism of Bortezomib can be increased when combined with Rofecoxib.
Roflumilast	Roflumilast may increase the immunosuppressive activities of Bortezomib.
Rolapitant	The metabolism of Bortezomib can be decreased when combined with Rolapitant.
Romidepsin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Romidepsin.
Ropeginterferon alfa-2b	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ropeginterferon alfa-2b.
Ropivacaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Ropivacaine.
Rosiglitazone	The metabolism of Rosiglitazone can be decreased when combined with Bortezomib.
Rosoxacin	The metabolism of Bortezomib can be decreased when combined with Rosoxacin.
Rosuvastatin	The metabolism of Bortezomib can be decreased when combined with Rosuvastatin.
Rotavirus vaccine	The therapeutic efficacy of Rotavirus vaccine can be decreased when used in combination with Bortezomib.
Rotigotine	The metabolism of Bortezomib can be decreased when combined with Rotigotine.
Roxithromycin	The metabolism of Bortezomib can be decreased when combined with Roxithromycin.
Rubella virus vaccine	The risk or severity of infection can be increased when Rubella virus vaccine is combined with Bortezomib.
Rucaparib	The metabolism of Bortezomib can be decreased when combined with Rucaparib.
Rufinamide	The metabolism of Bortezomib can be increased when combined with Rufinamide.
Rupatadine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Rupatadine.
Ruxolitinib	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ruxolitinib.
Salbutamol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Salbutamol.
Salicylic acid	The metabolism of Salicylic acid can be decreased when combined with Bortezomib.
Salmeterol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Salmeterol.
Sapropterin	The serum concentration of Bortezomib can be increased when it is combined with Sapropterin.
Saquinavir	The metabolism of Bortezomib can be decreased when combined with Saquinavir.
Sarecycline	The serum concentration of Bortezomib can be increased when it is combined with Sarecycline.
Sarilumab	The metabolism of Bortezomib can be increased when combined with Sarilumab.
Satralizumab	The serum concentration of Bortezomib can be decreased when it is combined with Satralizumab.
Secobarbital	The metabolism of Bortezomib can be increased when combined with Secobarbital.
Secukinumab	The metabolism of Bortezomib can be increased when combined with Secukinumab.
Selegiline	The metabolism of Selegiline can be decreased when combined with Bortezomib.
Selexipag	The serum concentration of Bortezomib can be increased when it is combined with Selexipag.
Selumetinib	The metabolism of Selumetinib can be decreased when combined with Bortezomib.
Sertindole	The metabolism of Sertindole can be decreased when combined with Bortezomib.
Sertraline	The metabolism of Sertraline can be decreased when combined with Bortezomib.
Sevoflurane	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sevoflurane.
Sildenafil	The serum concentration of Bortezomib can be increased when it is combined with Sildenafil.
Silodosin	The serum concentration of Bortezomib can be increased when it is combined with Silodosin.
Siltuximab	The metabolism of Bortezomib can be increased when combined with Siltuximab.
Simeprevir	The serum concentration of Bortezomib can be increased when it is combined with Simeprevir.
Simvastatin	The serum concentration of Bortezomib can be increased when it is combined with Simvastatin.
Siponimod	The risk or severity of adverse effects can be increased when Bortezomib is combined with Siponimod.
Sipuleucel-T	The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Bortezomib.
